0,1,2,3,4
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
False,False,False,False,True
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,True,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,False,True
False,True,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,True,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
False,True,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
False,False,False,False,True
False,True,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,True,False,False,False
True,False,False,False,False
False,False,False,True,False
False,False,False,False,True
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
False,True,False,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,True,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,True,False,False
False,False,True,False,False
True,False,False,False,False
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,False,False,True
False,False,True,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
False,False,True,False,False
False,False,False,True,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
False,True,False,False,False
True,False,False,False,False
True,False,False,False,False
True,False,False,False,False
False,False,False,True,False
True,False,False,False,False
True,False,False,False,False
False,False,False,False,True
True,False,False,False,False
